Comment,Processed_Comment
"Hmmm, no mention that you probably charge your car from electricity generated by burning coal. Batteries materials mined by slave children in Congo. Oh, and those batteries are not effectively recyclable. Oh, and the rare but horrific fires.",hmmm mention probably charge car electricity generated burning coal batteries materials mined slave children congo oh batteries effectively recyclable oh rare horrific fires
"Cars in the UK are more fuel efficient than cars in the US (even for similar-sized vehicles, Ford Focus Zetec for example). Switch to diesel and make more efficient engines. It's the most practical step at this stage and will lead to more development down the road instead of investing so much in something that does not work at this point.",cars uk fuel efficient cars us even similar sized vehicles ford focus zetec example switch diesel make efficient engines practical step stage lead development road instead investing much something work point
70% of the energy in gasoline is wasted as heat and friction. About 10% of the electricity an EV is wasted.,70 energy gasoline wasted heat friction 10 electricity ev wasted
Why can`t both technologies be combined into a more beneficent way ?..the electric motor has amazing  torque and the combustion engine has the ability to generate electricity and torque without a heavy batteries systems..the magic here would be the modernization of the alternator charging system..yes I know hybrids do this -but not in a completely beneficial and efficient way- a complete unison drive-train system..we actually use this concept everyday in combustion engine vehicles- but just to keep the electrical system going during use.,technologies combined beneficent way electric motor amazing torque combustion engine ability generate electricity torque without heavy batteries systems magic would modernization alternator charging system yes know hybrids completely beneficial efficient way complete unison drive train system actually use concept everyday combustion engine vehicles keep electrical system going use
Unfortunately cost of ownership wasn’t even mentioned,unfortunately cost ownership even mentioned
"This video is aging like fine wine.  EE, perhaps you should re-release it.",video aging like fine wine ee perhaps release
In the weight comparison the weight of a gas engine is substantially more then the weight of an electric motor,weight comparison weight gas engine substantially weight electric motor
what did you do with all those cans?,cans
"So, I wasn’t familiar with La Croix soda. I came across it at the supermarket today and bought some 😅. Great video BTW. Subscribed.",familiar la croix soda came across supermarket today bought great video btw subscribed
"Regarding EV maintenance, keep in mind that replacing the battery pack can be prohibitively expensive if not covered by warranties.",regarding ev maintenance keep mind replacing battery pack prohibitively expensive covered warranties
The word is pronounced “pomp-la-moose” fyi.,word pronounced pomp la moose fyi
"4:16 Don't you also have to consider the fact that internal combustion engines are far less efficient than electric cars? Internal combustion engines are like 20-30% efficient, while electric cars are like 80% efficient. Most of the energy in gasoline cars is lost as heat.",4 16 also consider fact internal combustion engines far less efficient electric cars internal combustion engines like 20 30 efficient electric cars like 80 efficient energy gasoline cars lost heat
"Something that I continually see as an example, but no one delves too deep into, is that so many EV owners admit they they have to have a second ICE car for road trips, etc. What I never see factored into the cost of owning an EV is the additional cost of the ICE car for back up. Some people will argure ""well....   I use the EV for around town and save the cost of the gas"". If I still have to have an ICE vehicle, and the only reason I have the EV is to save on gas for around town, I can argue that I can buy a LOT of gas for the cost of the EV. So, if a person still has to own an ICE because the EV won't do what THEY need to do then it's hardly cost effective to own both.",something continually see example one delves deep many ev owners admit second ice car road trips etc never see factored cost owning ev additional cost ice car back people argure well use ev around town save cost gas still ice vehicle reason ev save gas around town argue buy lot gas cost ev person still ice ev need hardly cost effective
"I don't know, But what about (Hybrid Cars) They use a gasoline engine with an electrical motor.",know hybrid cars use gasoline engine electrical motor
"You don't get it, don't you?
It does not matter if we can replace the performance of gas, because we should had stopped using it yesterday🙄
The entire video follows the wrong premise, spreads the wrong idea and is responsible for trillions of dollar in damage due to freak weather. Shame on you!",get matter replace performance gas stopped using yesterday entire video follows wrong premise spreads wrong idea responsible trillions dollar damage due freak weather shame
"They know future is electric. They know the world will end in 2018. They know women have penises. They just know, what to say.",know future electric know world end 2018 know women penises know say
"Mainly why the diesel engine will never go away. Impossible. For a single EV to exist. It takes thousands of diesel-powered equipment to make one single battery. To make every part of a EV. Again. We have thousands of diesel-powered equipment to get all the supplies from the ground, to the factory, to the dealership. Where I say earth doesn't have a IQ. It's called reverse engineering. Like EVs or not. If it wasn't for the common engine. An EV would never exist. Yet. It's entertaining to read the comments, etc. On what people think. Like. No more gas and diesel engines. Yes!!!! Well. That means no EVs at all. The battery materials come from Africa. Then. Has to go to China. Then. Wherever. Go take your EV and go do it then. I watch. Maybe. Yet. Thanks for the entertainment and proving Earth has no IQ.",mainly diesel engine never go away impossible single ev exist takes thousands diesel powered equipment make one single battery make every part ev thousands diesel powered equipment get supplies ground factory dealership say earth iq called reverse engineering like evs common engine ev would never exist yet entertaining read comments etc people think like gas diesel engines yes well means evs battery materials come africa go china wherever go take ev go watch maybe yet thanks entertainment proving earth iq
I may not agree with everything you present but I really appreciate your approach and fairness presented.,may agree everything present really appreciate approach fairness presented
"All the reasons stated here are the reason why US and EU car makers will be beaten by the Chinese.  China is going all-in on electric cars.  This video all made sense in 2018, and it’s what the US car manufacturers did. Now they are all failing in China, which is the largest car market in the world. China is starting to import electric cars to the West that are cheaper and better than their western competitors.  There is a paradigm shift that the western car manufacturers weren’t ready for, and still aren’t ready for.  It’s too late for them to catch up now.  Sorry but it’s true.",reasons stated reason us eu car makers beaten chinese china going electric cars video made sense 2018 us car manufacturers failing china largest car market world china starting import electric cars west cheaper better western competitors paradigm shift western car manufacturers ready still ready late catch sorry true
"Lfp batteries are even less energy dense, we've come a long way in 4 years... Lol",lfp batteries even less energy dense come long way 4 years lol
You use only 1/3 of the energy content on gasoline... the rest is heat to the atmosphere,use 1 3 energy content gasoline rest heat atmosphere
